feature,mean_abs_shap
unique_posters,1.4830533
help_seeking_density,0.5494093
suicidality_total,0.4453643
domestic_stress_total,0.41709727
topic_shift_jsd_4w_roll4w,0.3766722
pct_positive_delta,0.37002972
help_seeking_density_roll4w,0.36773705
isolation_total_roll2w,0.3581166
pct_negative_roll4w,0.34646899
week_sin,0.32443324
avg_negative_roll2w,0.23557806
std_word_count,0.21612336
pct_neutral_roll4w,0.20660503
domestic_stress_total_roll2w,0.20377558
help_seeking_density_roll2w,0.18457249
pct_positive,0.15368344
week_cos,0.15241838
avg_word_count_roll2w,0.13256894
suicidality_total_roll4w,0.12207501
economic_stress_total_roll4w,0.119409285
domestic_stress_total_roll4w,0.10805909
first_person_singular_ratio_roll4w,0.10417089
first_person_plural_ratio,0.10381398
posting_time_entropy_roll2w,0.0957462
suicidality_total_delta,0.095095165
avg_word_count,0.091962054
isolation_total,0.09109456
pct_very_negative_delta,0.090903684
post_volume_delta,0.08976802
avg_neutral_roll4w,0.08918907
pct_positive_roll2w,0.08720326
avg_compound_delta,0.086127944
topic_shift_jsd_4w_roll2w,0.08427388
isolation_total_delta,0.07991634
std_word_count_delta,0.07918035
new_poster_ratio_roll4w,0.07508086
posting_time_entropy_delta,0.07394114
avg_type_token_ratio_roll4w,0.072293915
avg_flesch_kincaid_delta,0.07072151
new_poster_ratio_delta,0.06894699
avg_type_token_ratio,0.065773055
avg_word_count_roll4w,0.064711645
hopelessness_density_roll4w,0.06460023
economic_stress_total_delta,0.06354277
avg_neutral,0.06336227
first_person_singular_ratio,0.060223002
avg_positive_delta,0.059484873
new_poster_ratio_roll2w,0.059178855
pct_neutral,0.058827315
pct_positive_roll4w,0.058778465
avg_positive_roll2w,0.055792853
new_poster_ratio,0.054210197
avg_neutral_roll2w,0.05078369
topic_shift_jsd_4w_delta,0.04956812
posting_time_entropy_roll4w,0.04897181
first_person_plural_ratio_delta,0.04752179
avg_negative_delta,0.044535257
avg_positive_roll4w,0.044492733
topic_shift_jsd_delta,0.043093536
avg_compound_roll4w,0.042497944
pct_negative_delta,0.04210804
pct_very_negative_roll4w,0.041671786
avg_flesch_kincaid,0.039362974
first_person_plural_ratio_roll4w,0.03828895
posting_time_entropy,0.03755398
pct_neutral_roll2w,0.036996037
std_word_count_roll2w,0.032229617
avg_positive,0.031353302
std_word_count_roll4w,0.028328707
avg_flesch_kincaid_roll2w,0.0271253
hopelessness_density_roll2w,0.02700491
topic_entropy_roll4w,0.02671472
topic_shift_jsd_roll4w,0.02598817
distress_density_delta,0.025713092
topic_entropy,0.025540547
avg_neutral_delta,0.025442012
avg_flesch_kincaid_roll4w,0.02525039
unique_posters_delta,0.02494345
first_person_singular_ratio_delta,0.023805775
avg_negative,0.020518897
post_volume_roll2w,0.01992728
economic_stress_total_roll2w,0.017667625
avg_compound,0.017311921
economic_stress_total,0.017193818
distress_density_roll2w,0.01595444
avg_type_token_ratio_delta,0.01270989
pct_negative,0.011264559
topic_shift_jsd_roll2w,0.01063681
avg_negative_roll4w,0.010204124
pct_neutral_delta,0.010095845
isolation_total_roll4w,0.009887155
topic_shift_jsd,0.009706522
avg_char_count_roll2w,0.009643685
topic_entropy_roll2w,0.007162248
topic_entropy_delta,0.0052727032
help_seeking_density_delta,0.0052250978
distress_density_roll4w,0.0044474173
topic_shift_jsd_4w,0.0043818546
unique_posters_roll2w,0.0037221794
avg_word_count_delta,0.003277203
avg_char_count_roll4w,0.0029334696
avg_char_count,0.0022895967
distress_density,0.0020163374
hopelessness_density,0.0
pct_very_negative,0.0
post_volume,0.0
avg_comments,0.0
domestic_stress_total_delta,0.0
avg_comments_delta,0.0
hopelessness_density_delta,0.0
dominant_topic,0.0
avg_char_count_delta,0.0
avg_compound_roll2w,0.0
pct_very_negative_roll2w,0.0
pct_negative_roll2w,0.0
avg_comments_roll2w,0.0
suicidality_total_roll2w,0.0
first_person_singular_ratio_roll2w,0.0
avg_type_token_ratio_roll2w,0.0
first_person_plural_ratio_roll2w,0.0
post_volume_roll4w,0.0
avg_comments_roll4w,0.0
unique_posters_roll4w,0.0
