feature,mean_abs_shap
post_volume_roll2w,1.0466262
domestic_stress_total_roll2w,0.84536356
unique_posters_roll4w,0.41012275
topic_shift_jsd_4w_delta,0.36107868
first_person_singular_ratio_roll4w,0.35265684
isolation_total,0.34325054
avg_compound_roll4w,0.3345277
posting_time_entropy_roll4w,0.30817297
suicidality_total,0.29634663
avg_positive_delta,0.24520755
avg_flesch_kincaid_roll4w,0.2292807
suicidality_total_delta,0.21615672
help_seeking_density_roll2w,0.21405444
avg_neutral_roll2w,0.19370247
unique_posters_roll2w,0.19190162
economic_stress_total_roll2w,0.17612495
avg_word_count_roll2w,0.15673466
avg_neutral_roll4w,0.14504504
avg_type_token_ratio_roll2w,0.1419624
avg_compound_delta,0.13604616
topic_entropy_delta,0.13385442
unique_posters_delta,0.13338642
help_seeking_density_roll4w,0.117245264
avg_neutral,0.11423282
first_person_plural_ratio_roll2w,0.10722679
avg_negative,0.098543786
avg_neutral_delta,0.09661271
help_seeking_density_delta,0.09209205
economic_stress_total,0.08971691
topic_shift_jsd_delta,0.08723948
new_poster_ratio_roll2w,0.08552218
isolation_total_roll2w,0.083792105
pct_positive_roll4w,0.07565039
domestic_stress_total_roll4w,0.07461311
std_word_count_roll4w,0.06930802
hopelessness_density,0.06878899
distress_density_delta,0.06874586
first_person_plural_ratio_delta,0.06745883
economic_stress_total_roll4w,0.06700553
hopelessness_density_delta,0.065639734
pct_neutral,0.065512344
pct_very_negative_roll2w,0.06471825
avg_word_count_delta,0.06444051
avg_flesch_kincaid_delta,0.06194814
pct_very_negative_delta,0.060980063
avg_positive_roll2w,0.060254514
isolation_total_delta,0.059979707
topic_entropy_roll4w,0.056523364
first_person_singular_ratio,0.054816186
posting_time_entropy_delta,0.05283959
economic_stress_total_delta,0.050175402
new_poster_ratio_delta,0.049565293
first_person_plural_ratio_roll4w,0.04900184
std_word_count_delta,0.04856905
domestic_stress_total_delta,0.04770466
first_person_plural_ratio,0.04770211
avg_word_count_roll4w,0.04703016
avg_type_token_ratio,0.045981813
avg_compound,0.04597801
avg_positive_roll4w,0.043114502
pct_neutral_roll2w,0.040640075
distress_density_roll4w,0.04047477
topic_shift_jsd_roll2w,0.038766623
avg_word_count,0.037052393
avg_flesch_kincaid_roll2w,0.036947597
distress_density,0.035546318
pct_neutral_delta,0.034882512
pct_negative_delta,0.032614034
isolation_total_roll4w,0.0318699
avg_char_count_roll2w,0.031770963
avg_positive,0.030872598
pct_very_negative_roll4w,0.029910654
topic_shift_jsd_4w_roll2w,0.029403107
pct_negative_roll4w,0.028793525
topic_shift_jsd_4w_roll4w,0.028785152
topic_shift_jsd,0.028770408
avg_negative_roll4w,0.027814426
pct_positive_delta,0.027275503
pct_negative,0.026387606
help_seeking_density,0.026024334
std_word_count_roll2w,0.024658678
suicidality_total_roll2w,0.023778804
pct_neutral_roll4w,0.02190885
hopelessness_density_roll2w,0.020724747
std_word_count,0.020439165
unique_posters,0.018601608
avg_compound_roll2w,0.018552367
topic_entropy_roll2w,0.017676698
avg_type_token_ratio_delta,0.016311143
first_person_singular_ratio_delta,0.016278896
post_volume_delta,0.016151844
domestic_stress_total,0.016021447
topic_entropy,0.0146638835
avg_char_count_roll4w,0.013992355
hopelessness_density_roll4w,0.011584087
avg_negative_roll2w,0.011524792
week_sin,0.010992607
week_cos,0.010843028
pct_positive,0.010558792
avg_negative_delta,0.010132081
pct_negative_roll2w,0.0082282005
topic_shift_jsd_roll4w,0.008085072
posting_time_entropy_roll2w,0.0066891573
pct_very_negative,0.005036764
posting_time_entropy,0.0044066766
first_person_singular_ratio_roll2w,0.0040796553
avg_flesch_kincaid,0.0034870382
avg_type_token_ratio_roll4w,0.003250404
suicidality_total_roll4w,0.002161733
new_poster_ratio,0.00029756475
dominant_topic,0.0
post_volume,0.0
avg_char_count,0.0
avg_comments,0.0
topic_shift_jsd_4w,0.0
avg_comments_delta,0.0
avg_char_count_delta,0.0
distress_density_roll2w,0.0
pct_positive_roll2w,0.0
avg_comments_roll2w,0.0
post_volume_roll4w,0.0
avg_comments_roll4w,0.0
new_poster_ratio_roll4w,0.0
