feature,mean_abs_shap
domestic_stress_total_roll4w,1.9350748
suicidality_total,0.6818703
domestic_stress_total_roll2w,0.47533783
post_volume_roll2w,0.42029452
avg_neutral_roll4w,0.41166627
post_volume_roll4w,0.33881676
pct_neutral_delta,0.26490676
domestic_stress_total,0.22113833
economic_stress_total_roll2w,0.21526732
topic_shift_jsd_4w_roll4w,0.21493329
topic_entropy_delta,0.21412903
hopelessness_density,0.21191858
pct_negative_delta,0.19951618
hopelessness_density_roll2w,0.19687472
unique_posters,0.18608533
first_person_plural_ratio_roll4w,0.18397436
topic_shift_jsd_roll4w,0.18223856
avg_type_token_ratio_roll2w,0.14844143
avg_flesch_kincaid,0.14702514
new_poster_ratio_roll2w,0.14548069
topic_shift_jsd_4w_delta,0.12568294
avg_positive_roll2w,0.11330497
avg_positive,0.112278305
hopelessness_density_roll4w,0.11035462
std_word_count,0.10854377
avg_char_count_roll2w,0.10461872
week_cos,0.10457448
std_word_count_delta,0.099508785
isolation_total_roll4w,0.09281779
isolation_total_delta,0.0790041
first_person_plural_ratio,0.07804973
posting_time_entropy_roll4w,0.07008764
isolation_total_roll2w,0.0685047
avg_positive_roll4w,0.06672732
economic_stress_total_delta,0.06606918
new_poster_ratio,0.064709894
avg_type_token_ratio,0.061570603
avg_negative_roll4w,0.060735937
pct_negative_roll2w,0.059974
first_person_plural_ratio_delta,0.059906524
topic_shift_jsd_4w_roll2w,0.05745085
topic_entropy_roll2w,0.054898035
pct_positive_roll4w,0.0535562
posting_time_entropy_roll2w,0.052723844
posting_time_entropy_delta,0.05164137
avg_positive_delta,0.05072199
posting_time_entropy,0.05046375
std_word_count_roll2w,0.049418304
avg_neutral_delta,0.049178068
topic_entropy_roll4w,0.047772896
pct_very_negative,0.04668209
help_seeking_density,0.04654072
domestic_stress_total_delta,0.043475542
suicidality_total_roll4w,0.04194554
pct_very_negative_roll4w,0.041099466
new_poster_ratio_roll4w,0.039332878
pct_positive_roll2w,0.038320974
avg_negative_roll2w,0.03661961
help_seeking_density_roll2w,0.035727754
help_seeking_density_roll4w,0.035328005
avg_negative_delta,0.03506478
first_person_singular_ratio_delta,0.03488037
avg_neutral_roll2w,0.03366447
suicidality_total_roll2w,0.031157216
new_poster_ratio_delta,0.028638108
pct_very_negative_delta,0.027983692
avg_flesch_kincaid_roll4w,0.027913878
distress_density,0.027539706
distress_density_delta,0.027470998
first_person_plural_ratio_roll2w,0.026135894
unique_posters_roll4w,0.025710741
help_seeking_density_delta,0.025058875
first_person_singular_ratio_roll4w,0.024955044
avg_char_count_delta,0.024758164
distress_density_roll2w,0.024701305
avg_negative,0.022617023
avg_compound_delta,0.021342771
avg_char_count,0.021109743
first_person_singular_ratio,0.020113405
avg_word_count_delta,0.019164057
pct_neutral_roll2w,0.018863657
topic_shift_jsd_delta,0.01879033
avg_type_token_ratio_delta,0.017664729
post_volume_delta,0.017296098
avg_word_count_roll2w,0.013131187
pct_very_negative_roll2w,0.012760113
isolation_total,0.012439062
unique_posters_delta,0.012069508
avg_neutral,0.011000871
distress_density_roll4w,0.0096954815
pct_negative,0.008588474
pct_neutral_roll4w,0.008216432
week_sin,0.00791395
unique_posters_roll2w,0.007910459
hopelessness_density_delta,0.00786784
avg_compound,0.0077662696
pct_negative_roll4w,0.007687278
suicidality_total_delta,0.0072177816
avg_compound_roll2w,0.006734584
topic_entropy,0.006724706
avg_word_count_roll4w,0.006692319
avg_flesch_kincaid_roll2w,0.006271519
std_word_count_roll4w,0.0059841424
economic_stress_total_roll4w,0.005495868
topic_shift_jsd_roll2w,0.0050385995
post_volume,0.0046559735
pct_positive_delta,0.00429596
avg_compound_roll4w,0.0035484212
topic_shift_jsd_4w,0.0035232753
avg_flesch_kincaid_delta,0.0033491263
avg_word_count,0.0030881087
pct_neutral,0.0
pct_positive,0.0
economic_stress_total,0.0
avg_comments,0.0
avg_comments_delta,0.0
topic_shift_jsd,0.0
dominant_topic,0.0
first_person_singular_ratio_roll2w,0.0
avg_comments_roll2w,0.0
avg_char_count_roll4w,0.0
avg_type_token_ratio_roll4w,0.0
avg_comments_roll4w,0.0
