feature,mean_abs_shap
economic_stress_total,1.6149362
suicidality_total,1.3776039
suicidality_total_roll4w,0.89785254
std_word_count_roll2w,0.3608876
economic_stress_total_roll4w,0.339362
hopelessness_density_delta,0.23308507
suicidality_total_roll2w,0.22084762
pct_negative,0.18075563
new_poster_ratio,0.17475764
avg_compound_delta,0.16489491
first_person_plural_ratio,0.156565
help_seeking_density_roll4w,0.15444864
avg_flesch_kincaid_roll2w,0.14718413
economic_stress_total_delta,0.13247946
help_seeking_density_roll2w,0.1281236
help_seeking_density_delta,0.12746724
first_person_singular_ratio_delta,0.11854579
pct_negative_roll4w,0.1161725
pct_positive_delta,0.11520497
post_volume_delta,0.11466336
domestic_stress_total_delta,0.11437613
suicidality_total_delta,0.11356837
std_word_count,0.11072242
pct_neutral_delta,0.104826145
pct_positive_roll4w,0.10159312
avg_type_token_ratio_roll2w,0.10078827
avg_type_token_ratio_roll4w,0.10045528
posting_time_entropy_delta,0.09962284
hopelessness_density_roll4w,0.09548397
hopelessness_density_roll2w,0.093418665
isolation_total,0.08558957
posting_time_entropy,0.07863676
first_person_plural_ratio_roll4w,0.078402855
new_poster_ratio_delta,0.07786504
avg_word_count_roll4w,0.07734125
economic_stress_total_roll2w,0.073273025
post_volume_roll2w,0.07200516
domestic_stress_total,0.06460075
first_person_singular_ratio_roll4w,0.06458526
avg_compound_roll2w,0.06319017
pct_neutral_roll4w,0.06259499
first_person_plural_ratio_roll2w,0.060496774
avg_flesch_kincaid_delta,0.059458
std_word_count_roll4w,0.05523366
unique_posters,0.053598806
avg_char_count_roll4w,0.049495813
pct_very_negative_roll2w,0.04802608
avg_char_count_delta,0.04693444
pct_negative_delta,0.042660493
avg_type_token_ratio,0.04217956
avg_neutral_delta,0.036125783
avg_negative_roll2w,0.034482293
avg_flesch_kincaid_roll4w,0.034132514
pct_positive,0.033197302
first_person_singular_ratio_roll2w,0.03237311
week_cos,0.031291682
avg_negative_roll4w,0.030736871
pct_neutral,0.030551279
pct_positive_roll2w,0.029231891
pct_very_negative_delta,0.028443336
first_person_plural_ratio_delta,0.027756168
help_seeking_density,0.02628544
pct_negative_roll2w,0.022786926
std_word_count_delta,0.022172365
distress_density,0.020176318
avg_char_count,0.019923879
avg_word_count_delta,0.019750118
pct_very_negative,0.019645412
distress_density_roll4w,0.018925292
new_poster_ratio_roll2w,0.01821845
avg_neutral,0.018057501
avg_word_count,0.0179719
avg_positive_roll4w,0.01702047
avg_char_count_roll2w,0.016829077
distress_density_delta,0.015945168
pct_very_negative_roll4w,0.01326816
new_poster_ratio_roll4w,0.012619355
domestic_stress_total_roll4w,0.01254968
isolation_total_delta,0.012284915
avg_compound,0.012279358
avg_positive_delta,0.012222365
avg_type_token_ratio_delta,0.011965016
avg_positive_roll2w,0.010918948
domestic_stress_total_roll2w,0.010173012
isolation_total_roll4w,0.009474533
hopelessness_density,0.008806216
avg_flesch_kincaid,0.008431701
unique_posters_roll2w,0.008174396
posting_time_entropy_roll2w,0.007051851
week_sin,0.007044829
avg_negative_delta,0.00653077
unique_posters_roll4w,0.0054553025
first_person_singular_ratio,0.0051962053
avg_negative,0.0050021494
pct_neutral_roll2w,0.004933538
avg_neutral_roll4w,0.0046836603
isolation_total_roll2w,0.0038722097
distress_density_roll2w,0.0037234488
avg_compound_roll4w,0.0034974182
avg_neutral_roll2w,0.0026830635
avg_word_count_roll2w,0.0023502524
avg_positive,0.0
post_volume,0.0
unique_posters_delta,0.0
avg_comments_delta,0.0
dominant_topic,0.0
avg_comments,0.0
topic_shift_jsd,0.0
topic_entropy,0.0
topic_entropy_delta,0.0
topic_shift_jsd_delta,0.0
topic_entropy_roll2w,0.0
avg_comments_roll2w,0.0
topic_shift_jsd_roll2w,0.0
post_volume_roll4w,0.0
posting_time_entropy_roll4w,0.0
avg_comments_roll4w,0.0
topic_shift_jsd_roll4w,0.0
topic_entropy_roll4w,0.0
